SDate,PFIZER_High,PFIZER_Low,PFIZER_Open,PFIZER_Close,PFIZER_Volume,PFIZER_Adj Close,PFIZER_VARIATION,ASTRAZENECA_High,ASTRAZENECA_Low,ASTRAZENECA_Open,ASTRAZENECA_Close, ASTRAZENECA_Volume ,ASTRAZENECA_Adj Close,ASTRAZENECA_VARIATION,BIONTECH_High,BIONTECH_Low,BIONTECH_Open,BIONTECH_Close,BIONTECH_Volume,BIONTECH_Adj Close,BIONTECH_VARIATION,MODERNA_High,MODERNA_Low,MODERNA_Open,MODERNA_Close,MODERNA_Volume,MODERNA_Adj Close,MODERNA_VARIATION,NOVAVAX_High,NOVAVAX_Low,NOVAVAX_Open,NOVAVAX_Close,NOVAVAX_Volume,NOVAVAX_Adj Close,NOVAVAX_VARIATION
31/01/2020,35.53130722,35.00948715,35.04743958,35.3320694,33894005,34.29215622,0.284629822,49.18000031,48.47000122,49.18000031,48.70000076," 4,129,300.00 ",47.34890747,-0.479999542,30.95000076,28.5,30.36000061,29.20999908,138700,29.20999908,-1.150001526,21.31999969,20.04999924,21.13999939,20.51000023,2833600,20.51000023,-0.629999161,7.789999962,6.789999962,7.210000038,7.619999886,6765900,7.619999886,0.409999847
03/02/2020,36.09108353,35.38899231,35.54079819,35.58823395,20875735,34.54077911,0.04743576,48.93000031,48.45000076,48.61999893,48.50999832," 1,990,900.00 ",47.16417694,-0.11000061,30.69000053,28.78000069,29.79999924,30.27000046,177600,30.27000046,0.470001221,21.05999947,19.70000076,20.65999985,20.37999916,3155400,20.37999916,-0.280000687,7.429999828,6.75,7.260000229,6.809999943,4206800,6.809999943,-0.450000286
04/02/2020,36.2808342,35.7020874,36.12903214,35.75901413,31150865,34.70653534,-0.370018005,49.09000015,48.72000122,48.75999832,48.75999832," 1,698,800.00 ",47.40724564,0,32.91999817,29.17000008,29.17000008,32.91999817,137600,32.91999817,3.749998093,20.87999916,19.75,20.09000015,20.87000084,1824400,20.87000084,0.780000687,7.070000172,6.550000191,6.630000114,7.010000229,4168300,7.010000229,0.380000114
05/02/2020,36.59392929,35.88235474,35.91081619,36.21442032,29443490,35.14853668,0.303604126,49.84999847,49.22999954,49.45999908,49.72999954," 2,303,000.00 ",48.35033417,0.270000458,34,28.69000053,34,29.25,405000,29.25,-4.75,21.20000076,19.67000008,20.98999977,20.04999924,2656800,20.04999924,-0.940000534,7.010000229,6.590000153,6.900000095,6.96999979,2158500,6.96999979,0.069999695
06/02/2020,36.52751541,36.08159256,36.47058868,36.2998085,21047748,35.23141479,-0.170780182,50.09999847,49.5,49.68999863,50.02999878," 2,531,000.00 ",48.64200974,0.340000153,32.93000031,29.68000031,32,32.93000031,387400,32.93000031,0.930000305,20.31999969,19.70000076,20.27000046,19.87999916,1929700,19.87999916,-0.390001297,6.980000019,6.710000038,6.889999866,6.840000153,1457600,6.840000153,-0.049999714
07/02/2020,36.43263626,35.98671722,36.39468765,36.10057068,21903596,35.03803635,-0.294116974,49.91999817,49.36999893,49.88999939,49.40000153," 1,995,500.00 ",48.02949142,-0.489997864,32.49000168,30.06999969,31.87999916,30.87999916,166700,30.87999916,-1,23.38999939,19.79000092,19.79000092,23.23999977,10144200,23.23999977,3.449998856,6.889999866,6.260000229,6.760000229,6.309999943,2607200,6.309999943,-0.450000286
10/02/2020,36.26185989,35.78747559,36.25237274,35.87286377,19998385,34.81703568,-0.379508972,49.93999863,49.34999847,49.49000168,49.90999985," 1,983,200.00 ",48.52534103,0.419998169,32.15000153,30.11000061,30.98999977,32.11999893,121700,32.11999893,1.129999161,23.95000076,22.38299942,23.5,23.64999962,9356800,23.64999962,0.149999619,7.389999866,6.429999828,6.429999828,7.019999981,6183600,7.019999981,0.590000153
11/02/2020,36.17647171,35.82542801,35.94876862,36.13851929,16027335,35.07487106,0.189750671,49.97999954,49.54000092,49.93999863,49.77999878," 1,848,800.00 ",48.39894485,-0.159999847,31.47999954,29.79999924,31.47999954,30.70999908,175300,30.70999908,-0.770000458,22.73999977,21.28000069,22.09000015,21.35000038,6188300,21.35000038,-0.739999771,7.349999905,6.699999809,6.929999828,7.210000038,2429000,7.210000038,0.28000021
12/02/2020,36.23339844,35.78747559,36.13851929,35.8064537,22944315,34.75257874,-0.332065582,49.79999924,49.36000061,49.75,49.58000183," 2,483,000.00 ",48.20449829,-0.169998169,31.10000038,29,30,29.55999947,157700,29.55999947,-0.440000534,19.67000008,18.5,19.63999939,19.01000023,19231800,19.01000023,-0.629999161,7.690000057,7.110000134,7.199999809,7.309999943,2715000,7.309999943,0.110000134
13/02/2020,35.65464783,35,35.65464783,35.03795242,22099745,34.00669861,-0.616695404,49.75,48.77999878,48.81000137,49.33000183," 2,807,500.00 ",47.96143341,0.520000458,30.63999939,29.07999992,29.51000023,30.63999939,107100,30.63999939,1.129999161,19.79999924,18.88999939,19.36000061,19.04500008,6837000,19.04500008,-0.315000534,8.050000191,7.510000229,7.599999905,7.789999962,4408600,7.789999962,0.190000057
